Date,Open,High,Low,Close,Volume,Change
2020-11-02,8150,8150,8010,8045,18103,-0.00801479654747228
2020-11-03,8060,8125,8060,8120,7625,0.009322560596643825
2020-11-04,8210,8210,8120,8165,5593,0.005541871921182162
2020-11-05,8195,8380,8195,8335,23141,0.02082057562767914
2020-11-06,8390,8390,8335,8355,9486,0.002399520095980767
2020-11-09,8345,8345,8270,8300,13197,-0.006582884500299202
2020-11-10,8260,8340,8260,8300,9939,0.0
2020-11-11,8510,8605,8480,8575,34355,0.033132530120481896
2020-11-12,8550,8550,8430,8460,8722,-0.013411078717201153
2020-11-13,8420,8420,8305,8345,13173,-0.013593380614657202
2020-11-16,8360,8495,8360,8435,15895,0.010784901138406244
2020-11-17,8535,8545,8420,8525,14586,0.010669828097213951
2020-11-18,8450,8640,8450,8565,40812,0.004692082111436902
2020-11-19,8670,8670,8500,8590,14846,0.0029188558085231353
2020-11-20,8590,8630,8555,8580,13616,-0.0011641443538998875
2020-11-23,8600,8670,8595,8655,16555,0.00874125874125875
2020-11-24,8670,8670,8585,8600,24638,-0.006354708261120723
2020-11-25,8600,8730,8600,8710,64639,0.012790697674418539
2020-11-26,8690,8690,8500,8680,7002,-0.003444316877152742
2020-11-27,8600,8675,8600,8660,14201,-0.0023041474654378336
2020-11-30,8700,8720,8645,8675,40158,0.0017321016166280678
2020-12-01,8550,8550,8480,8500,46684,-0.02017291066282423
2020-12-02,8480,8480,8360,8380,47915,-0.014117647058823568
2020-12-03,8515,8515,8405,8450,17175,0.00835322195704058
2020-12-04,8445,8500,8405,8445,45009,-0.0005917159763313418
2020-12-07,8450,8450,8295,8335,25983,-0.013025458851391392
2020-12-08,8300,8360,8275,8320,39497,-0.001799640071985631
2020-12-09,8385,8385,8240,8280,27498,-0.004807692307692291
2020-12-10,8390,8415,8300,8415,22957,0.016304347826086918
2020-12-11,8480,8480,8420,8470,15470,0.006535947712418277
2020-12-14,8500,8620,8470,8590,19369,0.01416765053128688
2020-12-15,8585,8585,8490,8505,14964,-0.009895227008149043
2020-12-16,8600,8600,8425,8560,10265,0.0064667842445620405
2020-12-17,8640,8640,8550,8605,16027,0.005257009345794428
2020-12-18,8670,8725,8600,8700,23427,0.011040092969204052
2020-12-21,8700,8840,8680,8815,26279,0.013218390804597746
2020-12-22,8885,8925,8800,8810,24833,-0.0005672149744753163
2020-12-23,8900,8900,8815,8870,11125,0.006810442678774065
2020-12-24,8930,9090,8930,9020,26977,0.016910935738444266
2020-12-28,9125,9125,9020,9040,29869,0.0022172949002217113
2020-12-29,9100,9100,8955,9015,24572,-0.0027654867256636795
2020-12-30,9270,9270,9075,9135,38340,0.01331114808652245
2021-01-04,9350,9650,9335,9625,76109,0.05363984674329503
2021-01-05,9560,9565,9465,9545,51776,-0.00831168831168827
2021-01-06,9570,9790,9570,9785,67261,0.02514405447878465
2021-01-07,9780,9780,9655,9715,72898,-0.007153806847215116
2021-01-08,9715,9715,9590,9710,63291,-0.0005146680391148184
2021-01-11,9765,9770,9635,9635,52888,-0.007723995880535517
2021-01-12,9680,9680,9535,9620,39245,-0.0015568240788791377
2021-01-13,9890,10260,9890,10220,183631,0.06237006237006226
2021-01-14,10175,10175,10025,10105,46451,-0.011252446183953047
2021-01-15,10295,10310,10150,10190,73970,0.00841167738743187
2021-01-18,10245,10310,10190,10310,64695,0.011776251226692791
2021-01-19,10310,10330,10110,10180,94740,-0.012609117361784716
2021-01-20,10145,10145,9915,9955,93628,-0.02210216110019647
2021-01-21,9950,10030,9835,10030,26853,0.007533902561526862
2021-01-22,10000,10000,9830,9840,95428,-0.018943170488534444
2021-01-25,9600,9625,9400,9480,111495,-0.03658536585365857
2021-01-26,9625,9770,9625,9655,36351,0.01845991561181437
2021-01-27,9895,10110,9895,10100,211033,0.04609010875194208
2021-01-28,9920,10080,9880,9975,56430,-0.012376237623762387
2021-01-29,9940,10040,9820,10000,48745,0.0025062656641603454
2021-02-01,10155,10215,10150,10205,54094,0.020499999999999963
2021-02-02,10120,10185,9995,10060,58954,-0.014208721215090647
2021-02-03,10060,10080,9910,9910,59526,-0.01491053677932408
2021-02-04,10120,10120,9995,10100,35092,0.019172552976791213
2021-02-05,10000,10100,9990,10045,34684,-0.00544554455445545
2021-02-08,10115,10115,10055,10065,68671,0.0019910403185665615
2021-02-09,10175,10295,10175,10290,68337,0.02235469448584193
2021-02-10,10290,10305,10100,10180,56082,-0.010689990281827044
2021-02-15,10060,10130,10010,10130,39343,-0.004911591355599265
2021-02-16,10135,10150,10070,10085,33343,-0.0044422507403750755
2021-02-17,10195,10195,10115,10195,38107,0.010907288051561714
2021-02-18,10195,10195,10060,10065,54984,-0.012751348700343335
2021-02-19,10065,10145,10050,10070,47551,0.0004967709885743687
2021-02-22,10075,10100,10070,10075,51297,0.0004965243296921606
2021-02-23,10220,10300,10100,10300,63732,0.022332506203474045
2021-02-24,10370,10375,10250,10260,30882,-0.003883495145631022
2021-02-25,10265,10385,10265,10380,27708,0.011695906432748648
2021-02-26,10300,10300,10125,10170,28134,-0.020231213872832332
2021-03-02,10300,10300,9950,9970,44993,-0.019665683382497523
2021-03-03,10210,10210,10070,10110,24621,0.014042126379137487
2021-03-04,10110,10110,10000,10090,15645,-0.001978239366963397
2021-03-05,10090,10090,9945,10070,25534,-0.001982160555004997
2021-03-08,10115,10340,10085,10295,35607,0.022343594836147007
2021-03-09,10295,10300,10105,10185,18354,-0.010684798445847465
2021-03-10,10245,10245,10110,10110,10830,-0.007363770250368162
2021-03-11,10100,10100,10020,10055,18726,-0.005440158259149341
2021-03-12,10035,10055,10005,10010,19750,-0.004475385380407704
2021-03-15,10110,10110,9970,9970,29168,-0.003996003996003972
2021-03-16,10145,10145,10055,10125,43653,0.015546639919759242
2021-03-17,10125,10190,10125,10180,18041,0.005432098765432158
2021-03-18,10180,10180,10100,10125,10944,-0.005402750491159125
2021-03-19,10000,10045,9900,10005,9804,-0.011851851851851891
2021-03-22,10110,10110,10045,10075,22447,0.006996501749125361
2021-03-23,10050,10135,10040,10045,10079,-0.0029776674937965764
2021-03-24,10080,10100,10070,10080,27932,0.0034843205574912606
2021-03-25,10135,10135,10035,10045,10665,-0.00347222222222221
2021-03-26,10000,10000,9960,9985,13025,-0.005973120955699351
2021-03-29,10020,10020,9940,9950,16390,-0.0035052578868302042
2021-03-30,9950,9950,9860,9880,19465,-0.007035175879396949
2021-03-31,9820,9820,9730,9735,27123,-0.014676113360323928
