±¸ºÐ,Æò±Õ
2021-11-01,"2,393"
2021-11-02,"2,390"
2021-11-03,"2,376"
2021-11-04,"2,504"
2021-11-05,"2,515"
2021-11-08,"2,518"
2021-11-09,"2,521"
2021-11-10,"2,533"
2021-11-11,"2,516"
2021-11-12,"2,511"
2021-11-15,"2,528"
2021-11-16,"2,532"
2021-11-17,"2,536"
2021-11-18,"2,625"
2021-11-19,"2,619"
2021-11-22,"2,623"
2021-11-23,"2,623"
2021-11-24,"2,623"
2021-11-25,"2,515"
2021-11-26,"2,507"
2021-11-29,"2,486"
2021-11-30,"2,486"
2021-12-01,"2,491"
2021-12-02,"2,646"
2021-12-06,"2,689"
2021-12-07,"2,700"
2021-12-08,"2,708"
2021-12-09,"2,771"
2021-12-10,"2,787"
2021-12-13,"2,776"
2021-12-14,"2,780"
2021-12-15,"2,784"
2021-12-16,"2,782"
2021-12-17,"2,785"
2021-12-20,"2,774"
2021-12-21,"2,774"
2021-12-22,"2,768"
2021-12-23,"2,666"
2021-12-24,"2,673"
2021-12-27,"2,699"
2021-12-28,"2,694"
2021-12-29,"2,689"
2021-12-30,"2,541"
2021-12-31,"2,518"
2022-01-03,"2,482"
2022-01-04,"2,484"
2022-01-05,"2,501"
2022-01-06,"2,347"
2022-01-07,"2,319"
2022-01-10,"2,335"
2022-01-11,"2,335"
2022-01-12,"2,343"
2022-01-13,"2,377"
2022-01-14,"2,375"
2022-01-17,"2,373"
2022-01-18,"2,372"
2022-01-19,"2,392"
2022-01-20,"2,318"
2022-01-21,"2,343"
2022-01-24,"2,309"
2022-01-25,"2,309"
2022-01-26,"2,309"
2022-01-27,"2,305"
2022-01-28,"2,293"
2022-02-03,"2,397"
2022-02-04,"2,376"
2022-02-07,"2,396"
2022-02-08,"2,382"
2022-02-09,"2,375"
2022-02-10,"2,351"
2022-02-11,"2,377"
2022-02-14,"2,366"
2022-02-15,"2,353"
2022-02-16,"2,341"
2022-02-17,"2,359"
2022-02-18,"2,352"
2022-02-21,"2,250"
2022-02-22,"2,256"
2022-02-23,"2,364"
2022-02-24,"2,361"
2022-02-25,"2,364"
2022-02-28,"2,314"
2022-03-02,"2,290"
2022-03-03,"2,228"
2022-03-04,"2,238"
2022-03-07,"2,193"
2022-03-08,"2,262"
2022-03-10,"2,358"
2022-03-11,"2,374"
2022-03-14,"2,343"
2022-03-15,"2,369"
2022-03-16,"2,370"
2022-03-17,"2,362"
2022-03-18,"2,362"
2022-03-21,"2,364"
2022-03-22,"2,389"
2022-03-23,"2,389"
2022-03-24,"2,403"
2022-03-25,"2,402"
2022-03-28,"2,393"
2022-03-29,"2,389"
2022-03-30,"2,367"
2022-03-31,"2,370"
