,구분,평균
0,2020-11-02,"2,062"
1,2020-11-03,"2,061"
2,2020-11-04,"2,039"
3,2020-11-05,"2,186"
4,2020-11-06,"2,181"
5,2020-11-09,"2,185"
6,2020-11-10,"2,178"
7,2020-11-11,"2,176"
8,2020-11-12,"2,130"
9,2020-11-13,"2,036"
10,2020-11-16,"2,120"
11,2020-11-17,"2,116"
12,2020-11-18,"2,143"
13,2020-11-19,"2,169"
14,2020-11-20,"2,160"
15,2020-11-23,"2,188"
16,2020-11-24,"2,184"
17,2020-11-25,"2,190"
18,2020-11-26,"2,076"
19,2020-11-27,"2,069"
20,2020-11-30,"2,111"
21,2020-12-01,"2,050"
22,2020-12-02,"2,048"
23,2020-12-03,"2,165"
24,2020-12-07,"2,185"
25,2020-12-08,"2,189"
26,2020-12-09,"2,199"
27,2020-12-10,"2,170"
28,2020-12-11,"2,170"
29,2020-12-14,"2,180"
30,2020-12-15,"2,181"
31,2020-12-16,"2,169"
32,2020-12-17,"2,163"
33,2020-12-18,"2,163"
34,2020-12-21,"2,168"
35,2020-12-22,"2,168"
36,2020-12-23,"2,177"
37,2020-12-24,"2,119"
38,2020-12-28,"2,121"
39,2020-12-29,"2,123"
40,2020-12-30,"2,119"
41,2020-12-31,"2,095"
42,2021-01-04,"2,149"
43,2021-01-05,"2,149"
44,2021-01-06,"2,140"
45,2021-01-07,"2,108"
46,2021-01-08,"2,100"
47,2021-01-11,"2,109"
48,2021-01-12,"2,107"
49,2021-01-13,"2,116"
50,2021-01-14,"2,093"
51,2021-01-15,"2,092"
52,2021-01-18,"2,094"
53,2021-01-19,"2,100"
54,2021-01-20,"2,099"
55,2021-01-21,"2,129"
56,2021-01-22,"2,122"
57,2021-01-25,"2,127"
58,2021-01-26,"2,127"
59,2021-01-27,"2,127"
60,2021-01-28,"2,078"
61,2021-01-29,"2,082"
62,2021-02-01,"2,097"
63,2021-02-02,"2,093"
64,2021-02-03,"2,084"
65,2021-02-04,"2,089"
66,2021-02-05,"2,089"
67,2021-02-08,"2,075"
68,2021-02-09,"2,074"
69,2021-02-10,"2,069"
70,2021-02-15,"2,098"
71,2021-02-16,"2,100"
72,2021-02-17,"2,099"
73,2021-02-18,"2,093"
74,2021-02-19,"2,071"
75,2021-02-22,"2,088"
76,2021-02-23,"2,070"
77,2021-02-24,"2,073"
78,2021-02-25,"1,993"
79,2021-02-26,"1,987"
80,2021-03-02,"1,885"
81,2021-03-03,"1,874"
82,2021-03-04,"1,993"
83,2021-03-05,"1,988"
84,2021-03-08,"1,872"
85,2021-03-09,"1,873"
86,2021-03-10,"1,863"
87,2021-03-11,"2,085"
88,2021-03-12,"2,102"
89,2021-03-15,"2,098"
90,2021-03-16,"2,095"
91,2021-03-17,"2,083"
92,2021-03-18,"2,079"
93,2021-03-19,"2,074"
94,2021-03-22,"2,092"
95,2021-03-23,"2,090"
96,2021-03-24,"2,092"
97,2021-03-25,"2,124"
98,2021-03-26,"2,124"
99,2021-03-29,"2,151"
100,2021-03-30,"2,157"
101,2021-03-31,"2,163"
