,date,Close
246,21/04/01,"3,087.40"
245,21/04/02,"3,112.80"
244,21/04/05,"3,120.83"
243,21/04/06,"3,127.08"
242,21/04/07,"3,137.41"
241,21/04/08,"3,143.26"
240,21/04/09,"3,131.88"
239,21/04/12,"3,135.59"
238,21/04/13,"3,169.08"
237,21/04/14,"3,182.38"
236,21/04/15,"3,194.33"
235,21/04/16,"3,198.62"
234,21/04/19,"3,198.84"
233,21/04/20,"3,220.70"
232,21/04/21,"3,171.66"
231,21/04/22,"3,177.52"
230,21/04/23,"3,186.10"
229,21/04/26,"3,217.53"
228,21/04/27,"3,215.42"
227,21/04/28,"3,181.47"
226,21/04/29,"3,174.07"
225,21/04/30,"3,147.86"
224,21/05/03,"3,127.20"
223,21/05/04,"3,147.37"
222,21/05/06,"3,178.74"
221,21/05/07,"3,197.20"
220,21/05/10,"3,249.30"
219,21/05/11,"3,209.43"
218,21/05/12,"3,161.66"
217,21/05/13,"3,122.11"
216,21/05/14,"3,153.32"
215,21/05/17,"3,134.52"
214,21/05/18,"3,173.05"
213,21/05/20,"3,162.28"
212,21/05/21,"3,156.42"
211,21/05/24,"3,144.30"
210,21/05/25,"3,171.32"
209,21/05/26,"3,168.43"
208,21/05/27,"3,165.51"
207,21/05/28,"3,188.73"
206,21/05/31,"3,203.92"
205,21/06/01,"3,221.87"
204,21/06/02,"3,224.23"
203,21/06/03,"3,247.43"
202,21/06/04,"3,240.08"
201,21/06/07,"3,252.12"
200,21/06/08,"3,247.83"
199,21/06/09,"3,216.18"
198,21/06/10,"3,224.64"
197,21/06/11,"3,249.32"
196,21/06/14,"3,252.13"
195,21/06/15,"3,258.63"
194,21/06/16,"3,278.68"
193,21/06/17,"3,264.96"
192,21/06/18,"3,267.93"
191,21/06/21,"3,240.79"
190,21/06/22,"3,263.88"
189,21/06/23,"3,276.19"
188,21/06/24,"3,286.10"
187,21/06/25,"3,302.84"
186,21/06/28,"3,301.89"
185,21/06/29,"3,286.68"
184,21/06/30,"3,296.68"
183,21/07/01,"3,282.06"
182,21/07/02,"3,281.78"
181,21/07/05,"3,293.21"
180,21/07/06,"3,305.21"
179,21/07/07,"3,285.34"
178,21/07/08,"3,252.68"
177,21/07/09,"3,217.95"
176,21/07/12,"3,246.47"
175,21/07/13,"3,271.38"
174,21/07/14,"3,264.81"
173,21/07/15,"3,286.22"
172,21/07/16,"3,276.91"
171,21/07/19,"3,244.04"
170,21/07/20,"3,232.70"
169,21/07/21,"3,215.91"
168,21/07/22,"3,250.21"
167,21/07/23,"3,254.42"
166,21/07/26,"3,224.95"
165,21/07/27,"3,232.53"
164,21/07/28,"3,236.86"
163,21/07/29,"3,242.65"
162,21/07/30,"3,202.32"
161,21/08/02,"3,223.04"
160,21/08/03,"3,237.14"
159,21/08/04,"3,280.38"
158,21/08/05,"3,276.13"
157,21/08/06,"3,270.36"
156,21/08/09,"3,260.42"
155,21/08/10,"3,243.19"
154,21/08/11,"3,220.62"
153,21/08/12,"3,208.38"
152,21/08/13,"3,171.29"
151,21/08/17,"3,143.09"
150,21/08/18,"3,158.93"
149,21/08/19,"3,097.83"
148,21/08/20,"3,060.51"
147,21/08/23,"3,090.21"
146,21/08/24,"3,138.30"
145,21/08/25,"3,146.81"
144,21/08/26,"3,128.53"
143,21/08/27,"3,133.90"
142,21/08/30,"3,144.19"
141,21/08/31,"3,199.27"
140,21/09/01,"3,207.02"
139,21/09/02,"3,175.85"
138,21/09/03,"3,201.06"
137,21/09/06,"3,203.33"
136,21/09/07,"3,187.42"
135,21/09/08,"3,162.99"
134,21/09/09,"3,114.70"
133,21/09/10,"3,125.76"
132,21/09/13,"3,127.86"
131,21/09/14,"3,148.83"
130,21/09/15,"3,153.40"
129,21/09/16,"3,130.09"
128,21/09/17,"3,140.51"
127,21/09/23,"3,127.58"
126,21/09/24,"3,125.24"
125,21/09/27,"3,133.64"
124,21/09/28,"3,097.92"
123,21/09/29,"3,060.27"
122,21/09/30,"3,068.82"
121,21/10/01,"3,019.18"
120,21/10/05,"2,962.17"
119,21/10/06,"2,908.31"
118,21/10/07,"2,959.46"
117,21/10/08,"2,956.30"
116,21/10/12,"2,916.38"
115,21/10/13,"2,944.41"
114,21/10/14,"2,988.64"
113,21/10/15,"3,015.06"
112,21/10/18,"3,006.68"
111,21/10/19,"3,029.04"
110,21/10/20,"3,013.13"
109,21/10/21,"3,007.33"
108,21/10/22,"3,006.16"
107,21/10/25,"3,020.54"
106,21/10/26,"3,049.08"
105,21/10/27,"3,025.49"
104,21/10/28,"3,009.55"
103,21/10/29,"2,970.68"
102,21/11/01,"2,978.94"
101,21/11/02,"3,013.49"
100,21/11/03,"2,975.71"
99,21/11/04,"2,983.22"
98,21/11/05,"2,969.27"
97,21/11/08,"2,960.20"
96,21/11/09,"2,962.46"
95,21/11/10,"2,930.17"
94,21/11/11,"2,924.92"
93,21/11/12,"2,968.80"
92,21/11/15,"2,999.52"
91,21/11/16,"2,997.21"
90,21/11/17,"2,962.42"
89,21/11/18,"2,947.38"
88,21/11/19,"2,971.02"
87,21/11/22,"3,013.25"
86,21/11/23,"2,997.33"
85,21/11/24,"2,994.29"
84,21/11/25,"2,980.27"
83,21/11/26,"2,936.44"
82,21/11/29,"2,909.32"
81,21/11/30,"2,839.01"
80,21/12/01,"2,899.72"
79,21/12/02,"2,945.27"
78,21/12/03,"2,968.33"
77,21/12/06,"2,973.25"
76,21/12/07,"2,991.72"
75,21/12/08,"3,001.80"
74,21/12/09,"3,029.57"
73,21/12/10,"3,010.23"
72,21/12/13,"3,001.66"
71,21/12/14,"2,987.95"
70,21/12/15,"2,989.39"
69,21/12/16,"3,006.41"
68,21/12/17,"3,017.73"
67,21/12/20,"2,963.00"
66,21/12/21,"2,975.03"
65,21/12/22,"2,984.48"
64,21/12/23,"2,998.17"
63,21/12/24,"3,012.43"
62,21/12/27,"2,999.55"
61,21/12/28,"3,020.24"
60,21/12/29,"2,993.29"
59,21/12/30,"2,977.65"
58,22/01/03,"2,988.77"
57,22/01/04,"2,989.24"
56,22/01/05,"2,953.97"
55,22/01/06,"2,920.53"
54,22/01/07,"2,954.89"
53,22/01/10,"2,926.72"
52,22/01/11,"2,927.38"
51,22/01/12,"2,972.48"
50,22/01/13,"2,962.09"
49,22/01/14,"2,921.92"
48,22/01/17,"2,890.10"
47,22/01/18,"2,864.24"
46,22/01/19,"2,842.28"
45,22/01/20,"2,862.68"
44,22/01/21,"2,834.29"
43,22/01/24,"2,792.00"
42,22/01/25,"2,720.39"
41,22/01/26,"2,709.24"
40,22/01/27,"2,614.49"
39,22/01/28,"2,663.34"
38,22/02/03,"2,707.82"
37,22/02/04,"2,750.26"
36,22/02/07,"2,745.06"
35,22/02/08,"2,746.47"
34,22/02/09,"2,768.85"
33,22/02/10,"2,771.93"
32,22/02/11,"2,747.71"
31,22/02/14,"2,704.48"
30,22/02/15,"2,676.54"
29,22/02/16,"2,729.68"
28,22/02/17,"2,744.09"
27,22/02/18,"2,744.52"
26,22/02/21,"2,743.80"
25,22/02/22,"2,706.79"
24,22/02/23,"2,719.53"
23,22/02/24,"2,648.80"
22,22/02/25,"2,676.76"
21,22/02/28,"2,699.18"
20,22/03/02,"2,703.52"
19,22/03/03,"2,747.08"
18,22/03/04,"2,713.43"
17,22/03/07,"2,651.31"
16,22/03/08,"2,622.40"
15,22/03/10,"2,680.32"
14,22/03/11,"2,661.28"
13,22/03/14,"2,645.65"
12,22/03/15,"2,621.53"
11,22/03/16,"2,659.23"
10,22/03/17,"2,694.51"
9,22/03/18,"2,707.02"
8,22/03/21,"2,686.05"
7,22/03/22,"2,710.00"
6,22/03/23,"2,735.05"
5,22/03/24,"2,729.66"
4,22/03/25,"2,729.98"
3,22/03/28,"2,729.56"
2,22/03/29,"2,741.07"
1,22/03/30,"2,746.74"
0,22/03/31,"2,757.65"
